"Date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Spain","Sweden","Switzerland","United Kingdom"
2022-01-22,-1.83333333333333,4.6,-2.4,2.46666666666667,11.1,-1.26363636363636,1.3,-2.55,-9.31071428571429,3.34861111111111,3.66521739130435,6.33,-0.883333333333333,6.9,4.46153846153846,-1.775,-2.3,2.9,10.6,5.96,2.86666666666667,-1.46,12.4533333333333,-4.15,-2.94,-4.65,6.81578947368421,-3.59,-1.24444444444444,6.17272727272727
2022-01-23,-0.866666666666667,4.6,-2.625,2.66666666666667,10.8,-0.472727272727273,4.43333333333333,-1.88571428571429,-1.51071428571429,3.6875,3.96521739130435,3.99,-1.56666666666667,6.83333333333333,4.87692307692308,-0.875,-4.25454545454545,2.7,10.8,5.78,4.11666666666667,-1.42,12.34,-4.92857142857143,-3.68,-3.25,6.925,0.94,-0.366666666666667,5.91363636363636
2022-01-24,-1.32222222222222,3.4,-4.675,0.633333333333333,6.3,-0.0363636363636364,4.53333333333333,1.19285714285714,0.785714285714286,3.11944444444444,3.23478260869565,2.93,-4.1,6.66666666666667,4.7025641025641,1.825,-2.5,1.4,9.9,4.26,2.08333333333333,-1.44,12.3733333333333,-7.23571428571429,-6.06,-3.45,7.725,1.89,0.0666666666666667,4.89545454545455
2022-01-25,-1.74444444444444,0.2,-5.525,0.2,9.1,-0.327272727272727,4.63333333333333,-0.0357142857142857,-4.61785714285714,2.30555555555556,1.46521739130435,3.08,-4.16666666666667,6.38888888888889,4.32820512820513,1.15,0.918181818181818,-1.7,7.4,2.9,0.316666666666667,1.8,12.48,-7.75714285714286,-2.94,-1.5,8.12368421052632,-1.4,0.0777777777777778,4.55909090909091
2022-01-26,-1.56666666666667,1.7,-2.375,2.43333333333333,7.6,-0.972727272727273,4.73333333333333,-2.31428571428571,-6.21428571428571,2.47222222222222,0.843478260869565,3.88,0.0166666666666667,8.18888888888889,5.67435897435897,-0.675,-1.2,-1.1,8.2,3.88,2.1,2.07,12.76,-2.97142857142857,-0.1,-2.05,7.95131578947368,-0.26,-1.03333333333333,6.28636363636364
2022-01-27,-0.477777777777778,5.6,0.325,2.86666666666667,7.3,-0.772727272727273,5.4,0.892857142857143,-3.45714285714286,3.39305555555556,2.59565217391304,5.91,0.533333333333333,8.75555555555556,6.45641025641026,2.3,2.04545454545455,0.1,10.4,6.7,1.81666666666667,2.31,13.1466666666667,-0.678571428571429,0.34,-1.65,8.36973684210526,0.35,-0.911111111111111,7.04545454545455
2022-01-28,-0.477777777777778,3.4,2.15,5.53333333333333,7.7,0.790909090909091,4.16666666666667,-0.05,-5.06428571428571,4.60694444444444,3.77826086956522,6.8,3.88333333333333,8.83333333333333,6.92307692307692,1.2,1.36363636363636,1.8,11.2,5.94,0.7,2.36,12.78,1.2,2.48,-3.35,8.30394736842105,-1.53,-0.555555555555556,6.6
2022-01-29,-0.333333333333333,8.1,2.475,4.63333333333333,9.2,0.809090909090909,5.33333333333333,-1.26428571428571,-6.37142857142857,5.58194444444444,5.12173913043478,7.36,2.65,8.93333333333333,5.67948717948718,0.65,0.181818181818182,4.2,11.6,8.6,1.15,1.65,13.3733333333333,-0.0928571428571429,0.28,-2.5,8.42763157894737,0.88,0.455555555555556,8.71818181818182
2022-01-30,2.3,4.7,1.85,7.53333333333333,11.1,2.34545454545455,5.03333333333333,0.157142857142857,-7.57142857142857,6.20833333333333,4.62608695652174,9.04,5.41666666666667,6.18888888888889,6.99230769230769,1.125,1.40909090909091,3.5,11.7,5.82,0.0333333333333333,3.41,13.72,0.885714285714286,3.8,-0.9,8.69342105263158,-1.79,2.36666666666667,4.79545454545455
2022-01-31,-1.26666666666667,4.9,3.85,4.13333333333333,9.9,-0.181818181818182,0.866666666666667,-3.06428571428571,-12.525,6.39722222222222,2.91739130434783,8.3,2.1,7.71111111111111,7.32564102564103,-1.975,-1.67272727272727,2.9,13.4,5.54,-2.91666666666667,0.49,13.8133333333333,1.73571428571429,1.14,-4.05,9.3421052631579,-6.42,0.2,5.51818181818182
2022-02-01,-1.34444444444444,6.1,1.55,3.9,10.3,-0.672727272727273,2.53333333333333,-4.58571428571429,-13.7357142857143,6.42361111111111,3.42608695652174,10.16,1.66666666666667,9.65555555555556,6.67692307692308,-2.75,-2.52727272727273,3.1,11.6,6.8,-3.43333333333333,-0.28,14.1666666666667,0.05,-0.3,-5.15,10.1907894736842,-7.47,-0.0888888888888889,8.87272727272727
2022-02-02,0.666666666666667,8.4,0.925,6.06666666666667,15.1,1.42727272727273,1.9,-6.47142857142857,-12.5142857142857,8.50694444444444,5.45652173913043,10.07,3,9.08888888888889,7.54102564102564,-3.85,-2.73636363636364,7.2,12.1,7.88,-4.63333333333333,1.47,14.2266666666667,-0.464285714285714,1.98,-2.55,10.7723684210526,-7.25,2.97777777777778,8.6
