0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.99997485,0.8487751,0.7315295,0.6429013,0.5781513,0.5337327,0.50415295,0.48258737,0.46469107,0.44798967,0.4307669,0.41361132,0.3981795,0.38416594,0.36980686,0.35435387,0.33779335,0.3200874,0.30104333,0.2815615,0.26227856,0.24321312,0.22463118,0.20764641,0.19315727,0.18119378,0.17145161,0.16335656,0.1561777,0.1492804,0.14254323,0.13614509,0.1304786,0.1256808,0.12166723,0.118192084,0.11515775,0.11269759,0.11122603,0.11105838,0.1123037,0.1145926,0.11708389,0.11880824,0.11921093,0.118411124,0.11698927,0.1154956,0.11425892,0.11338716,0.11267703,0.11191741,0.11128317,0.11115424,0.11158551,0.11242707,0.113494344,0.11462722,0.115908526,0.117726326
0.99997026,0.94324726,0.88879514,0.83303636,0.77053297,0.70765096,0.6532907,0.60336816,0.54894143,0.49096915,0.4312695,0.3736605,0.32470307,0.28854972,0.26515526,0.25264534,0.24869764,0.249527,0.25134516,0.25193647,0.250162,0.24513865,0.23711994,0.22723487,0.21599878,0.20366408,0.19079226,0.17778495,0.16501804,0.15296753,0.14225386,0.13358091,0.12744434,0.12394001,0.122224666,0.12117114,0.11960873,0.11676587,0.11255371,0.10819365,0.10498366,0.103980295,0.10585653,0.11097233,0.11905947,0.12939705,0.1401913,0.14859305,0.15303484,0.15414307,0.15270194,0.15026975,0.14888869,0.1488549,0.14861377,0.14739993,0.14542808,0.14311571,0.1411775,0.14110984
0.99996346,0.88194823,0.79392,0.73179287,0.6877709,0.6556259,0.63149357,0.6114963,0.5903053,0.5657634,0.5369388,0.5039625,0.46891287,0.4329501,0.39801592,0.36579645,0.33683857,0.31119007,0.29008874,0.27425388,0.26406774,0.25955194,0.2609431,0.2678367,0.28004774,0.29713666,0.31584224,0.33095574,0.33726934,0.3309684,0.31281972,0.2892916,0.26691222,0.24918757,0.23703797,0.2290415,0.2229329,0.21687812,0.21005122,0.20256792,0.19503212,0.18863694,0.18427378,0.18277737,0.18478423,0.18993765,0.19639057,0.20226601,0.20587945,0.20577738,0.20194238,0.19625092,0.19034787,0.18553075,0.18270826,0.18229724,0.18421854,0.18824968,0.19367923,0.20001966
0.999943,0.9821928,0.9764453,0.9551964,0.9073668,0.84221256,0.77623886,0.71674097,0.66351634,0.6125612,0.5597305,0.50466704,0.4502604,0.4002659,0.35695884,0.32143328,0.29223207,0.2678171,0.24773143,0.23232834,0.22174095,0.2156011,0.2135266,0.21507649,0.2190974,0.22446917,0.23072568,0.23748656,0.24414702,0.25022453,0.2548081,0.25581205,0.25098377,0.24007136,0.22424449,0.20518005,0.1853902,0.16713655,0.1514641,0.13875434,0.12921667,0.122909196,0.11960072,0.11858646,0.11899441,0.12009296,0.12110893,0.1214492,0.120944366,0.120170034,0.1196409,0.11948734,0.11981034,0.12076707,0.12189527,0.1226597,0.1230698,0.12329201,0.12341093,0.12376552
0.99996865,0.82686937,0.69520694,0.5984133,0.5284563,0.47830236,0.4425777,0.41589674,0.39488712,0.3779834,0.3644271,0.3526506,0.3417498,0.33108586,0.3197726,0.3073197,0.29453504,0.28183553,0.26899517,0.25571042,0.2417406,0.2272144,0.21288046,0.19964759,0.18809281,0.17835435,0.17019475,0.16326681,0.1573933,0.15273258,0.14954317,0.14789815,0.14756952,0.1482064,0.14936341,0.15063152,0.15184928,0.15305375,0.15415604,0.15498029,0.15528171,0.15486698,0.15367131,0.15204184,0.15049796,0.14943369,0.14893395,0.14875886,0.14852895,0.14789078,0.14677438,0.1453368,0.14372052,0.14193738,0.14006278,0.13808724,0.13601911,0.13410936,0.13262126,0.13146801
0.9999555,0.87324303,0.76461923,0.66975456,0.587327,0.51518685,0.4539982,0.40463734,0.36564603,0.33521953,0.31097284,0.29015657,0.27114052,0.2534682,0.23619837,0.2195282,0.20401292,0.19014837,0.17852455,0.16902472,0.16142145,0.15563403,0.1516789,0.14857341,0.1458794,0.14351821,0.14137125,0.13990302,0.14086458,0.14667381,0.1586934,0.17698139,0.20037419,0.2254921,0.24592793,0.25721103,0.25943986,0.25476673,0.2458421,0.23556402,0.22495781,0.21424046,0.20412341,0.19500074,0.18646482,0.17861466,0.17151678,0.1647543,0.15866108,0.1541721,0.15202352,0.15348555,0.15873726,0.16645117,0.17557372,0.18577884,0.19506863,0.20312871,0.21190363,0.22204837
0.99996984,0.65793663,0.45819443,0.3395826,0.2658863,0.2172006,0.18323347,0.15835251,0.1396044,0.12588665,0.116290234,0.10997236,0.10610668,0.103936255,0.10306314,0.10344247,0.105559215,0.110186785,0.11788449,0.12782031,0.1379669,0.14525828,0.14621377,0.13943006,0.12740573,0.11355432,0.10063501,0.09039676,0.083385065,0.07927143,0.077809714,0.07893853,0.08277096,0.08883534,0.0965499,0.10573773,0.1160891,0.12708254,0.13927156,0.1534124,0.16889915,0.18430223,0.19687517,0.20378809,0.2041026,0.19906735,0.19070359,0.18159658,0.17367785,0.16711201,0.16149223,0.1567562,0.15277047,0.1486902,0.1439016,0.13824764,0.13184837,0.12523691,0.11949213,0.11553231
0.9999714,0.8266022,0.66380316,0.52279985,0.41064325,0.32612896,0.26386583,0.21855175,0.18583716,0.16184422,0.144099,0.13173392,0.12362099,0.11779073,0.11298847,0.108470865,0.10374787,0.09891308,0.09485399,0.09211678,0.0906106,0.089906536,0.08955549,0.08951971,0.0905086,0.09371648,0.09973927,0.10816012,0.11725229,0.12446216,0.12759557,0.12633586,0.12263101,0.118518904,0.11444478,0.1106048,0.10729219,0.10443272,0.1024928,0.10259089,0.10506834,0.10923141,0.114063986,0.118422985,0.12134943,0.12262379,0.12294642,0.12326534,0.12390089,0.124974966,0.12640946,0.12810068,0.13026448,0.13371359,0.13907163,0.14555465,0.15167338,0.15571496,0.15648273,0.15331636
0.9999722,0.8050413,0.64642805,0.5219067,0.42518133,0.35127094,0.2951646,0.2536954,0.22505781,0.20705388,0.19888373,0.2001132,0.20993,0.22756128,0.2515241,0.27771562,0.30192712,0.32143825,0.33345008,0.33725592,0.33409175,0.32501763,0.3100268,0.2893937,0.26397333,0.23655322,0.20968989,0.18548982,0.16506723,0.14892256,0.13632156,0.1262951,0.11837,0.11294435,0.11054607,0.11091019,0.11414802,0.12094688,0.13124338,0.14517942,0.16423512,0.18929102,0.21817364,0.2469655,0.27225733,0.29081097,0.30088058,0.30312347,0.30047795,0.296366,0.294298,0.29733884,0.30821863,0.32892498,0.3583793,0.3912992,0.42184976,0.4451972,0.45541698,0.44556704
0.99997485,0.73503166,0.55380803,0.43481472,0.35782054,0.30841777,0.27663687,0.25604072,0.24255951,0.2335664,0.2271602,0.22203474,0.21686062,0.21078591,0.20369254,0.19579187,0.18728048,0.178168,0.168531,0.15841083,0.1479197,0.13754167,0.12807219,0.12017078,0.114150554,0.10996804,0.10738665,0.10610332,0.10578549,0.10615684,0.107077174,0.10832038,0.10937868,0.109708436,0.1089872,0.10716592,0.10453049,0.10165864,0.09902141,0.09674022,0.09451235,0.09191749,0.088697635,0.08488658,0.08080516,0.07688071,0.073404685,0.07049763,0.06826118,0.06673686,0.06604418,0.06647419,0.06822663,0.07101013,0.07437388,0.07778994,0.08069471,0.08279986,0.08431457,0.08537626
0.9999641,0.816495,0.67567325,0.56798226,0.48409483,0.4139444,0.35229355,0.2982683,0.25199714,0.21528935,0.1891883,0.17267781,0.16390261,0.16118091,0.162058,0.16448556,0.1665801,0.16682254,0.16445129,0.15966894,0.15286936,0.14451201,0.13521408,0.125718,0.116669476,0.10855942,0.10153063,0.09541718,0.08987608,0.08479006,0.08022479,0.07644933,0.07379623,0.07266031,0.073241316,0.07537864,0.078689024,0.082797766,0.0872386,0.09172215,0.09618075,0.100124456,0.1032251,0.105546184,0.10675955,0.10683357,0.106417775,0.10589584,0.10490044,0.10376014,0.10282536,0.10254802,0.10303742,0.10419275,0.10557822,0.10681953,0.107549526,0.10742432,0.10645848,0.10446395
0.9999714,0.7934638,0.63657504,0.5207652,0.4363995,0.3767985,0.33634543,0.30826113,0.28768817,0.27201128,0.258908,0.24640417,0.23479663,0.22435415,0.21520932,0.20719181,0.20008431,0.19391806,0.18854795,0.1834994,0.17819542,0.17205001,0.16468935,0.15623346,0.1472494,0.138608,0.13105308,0.124932095,0.12025229,0.11694284,0.11484365,0.11397689,0.1143147,0.11557904,0.11723652,0.118666075,0.11916793,0.11837263,0.116422705,0.11405588,0.111915834,0.11035494,0.10942999,0.1090469,0.10885188,0.10870278,0.108770914,0.1092998,0.11057783,0.11285262,0.11603176,0.11967648,0.1232803,0.12629257,0.12824272,0.12915812,0.12939209,0.12930106,0.12912515,0.12887107
